epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,1614.33,0.76106,0.66673,0.96689,0.81474,0.62245,0.7632,0.45061,1.25032,1.51204,1.28898,0.000288321,0.000288321,0.000288321
40,1652.55,0.77664,0.65486,0.94882,0.75563,0.63107,0.75307,0.44019,1.20224,1.46649,1.281,0.000247192,0.000247192,0.000247192
41,1832.77,1.54184,1.94778,1.38688,0.86458,0.78061,0.88759,0.55591,1.09022,1.29455,1.23804,0.000209073,0.000209073,0.000209073
42,1858.8,1.47005,1.81072,1.33682,0.94006,0.88025,0.9506,0.73195,0.90634,1.0686,1.10334,0.000174115,0.000174115,0.000174115
43,1886.01,1.42287,1.71813,1.3114,0.96465,0.92007,0.96595,0.70717,0.94319,1.03113,1.07781,0.000142456,0.000142456,0.000142456
44,1910.53,1.42419,1.656,1.28641,0.96423,0.93197,0.97112,0.73567,0.83765,0.98057,1.06904,0.000114221,0.000114221,0.000114221
45,1935.68,1.38696,1.60796,1.26419,0.981,0.93878,0.97409,0.79684,0.80876,0.94052,1.04646,8.95213e-05,8.95213e-05,8.95213e-05
46,1960.41,1.39122,1.58556,1.2511,0.99453,0.93707,0.97583,0.79731,0.74524,0.87604,1.02534,6.8454e-05,6.8454e-05,6.8454e-05
47,1986.09,1.3451,1.5731,1.26427,0.97764,0.93878,0.97599,0.81748,0.75994,0.87204,1.03159,5.11027e-05,5.11027e-05,5.11027e-05
48,2010.96,1.35848,1.56031,1.24922,0.99292,0.95349,0.97933,0.81028,0.76761,0.82932,1.01773,3.75356e-05,3.75356e-05,3.75356e-05
49,2036.16,1.31981,1.5099,1.22131,0.99647,0.95978,0.98116,0.81884,0.74456,0.82993,1.01257,2.78064e-05,2.78064e-05,2.78064e-05
50,2060.73,1.32905,1.53413,1.24069,0.99214,0.95918,0.98049,0.81856,0.75307,0.83931,1.01824,2.19535e-05,2.19535e-05,2.19535e-05
1,72.0294,1.95786,1.16572,1.22243,0.72012,0.62123,0.69335,0.36133,1.73131,0.92953,1.108,0.0700292,0.00333009,0.00333009
2,136.008,1.78668,0.93691,1.12543,0.72457,0.64213,0.71492,0.3746,1.69868,0.92271,1.07961,0.0400227,0.00665692,0.00665692
3,199.485,1.7818,0.91964,1.11118,0.75182,0.67071,0.73764,0.39487,1.65744,0.89334,1.06731,0.00999016,0.00995774,0.00995774
4,263.756,1.7433,0.8999,1.09823,0.78066,0.68969,0.76305,0.42166,1.62178,0.84702,1.05402,0.00991232,0.00991232,0.00991232
5,327.154,1.70004,0.86765,1.07676,0.75213,0.67722,0.74556,0.40476,1.62036,0.87294,1.05088,0.00984449,0.00984449,0.00984449
6,391.51,1.66121,0.84015,1.06413,0.76674,0.68607,0.75714,0.41625,1.60833,0.84114,1.04469,0.00975773,0.00975773,0.00975773
7,455.128,1.64335,0.82627,1.05647,0.78836,0.70099,0.77412,0.43258,1.57728,0.81894,1.03078,0.00965239,0.00965239,0.00965239
8,519.708,1.61791,0.80864,1.04871,0.78778,0.7003,0.77591,0.43708,1.56333,0.80938,1.02487,0.00952889,0.00952889,0.00952889
9,583.963,1.60222,0.7961,1.04051,0.79562,0.71519,0.78515,0.44424,1.55184,0.78728,1.02294,0.00938772,0.00938772,0.00938772
10,648.301,1.58803,0.7865,1.03762,0.79009,0.70651,0.77661,0.43886,1.55752,0.7918,1.02274,0.00922942,0.00922942,0.00922942
11,712.546,1.57793,0.77983,1.03167,0.7875,0.69705,0.77411,0.43278,1.56382,0.79969,1.01879,0.00905463,0.00905463,0.00905463
12,776.352,1.56928,0.76933,1.02584,0.81512,0.72982,0.80349,0.46368,1.51101,0.75495,1.00636,0.00886404,0.00886404,0.00886404
13,839.788,1.55793,0.76299,1.02435,0.8155,0.72098,0.79838,0.4545,1.52775,0.76562,1.00833,0.00865839,0.00865839,0.00865839
14,904.25,1.54798,0.75532,1.01818,0.82095,0.73321,0.80779,0.46735,1.50284,0.74994,1.00397,0.00843851,0.00843851,0.00843851
15,968.209,1.54317,0.75109,1.01577,0.82042,0.73584,0.80994,0.46772,1.50923,0.74271,1.00252,0.00820525,0.00820525,0.00820525
16,1034.68,1.52788,0.74177,1.01107,0.81348,0.72518,0.80574,0.46149,1.52325,0.75888,1.00524,0.00795954,0.00795954,0.00795954
17,1102.58,1.52328,0.73561,1.00894,0.81854,0.72782,0.80941,0.4653,1.51369,0.74543,1.0037,0.00770234,0.00770234,0.00770234
18,1200.62,1.51468,0.73041,1.00558,0.82412,0.72996,0.81076,0.46823,1.50105,0.73941,0.99879,0.00743468,0.00743468,0.00743468
19,1282.45,1.51025,0.72542,1.00379,0.83043,0.74749,0.82404,0.47742,1.4971,0.7258,0.99689,0.00715761,0.00715761,0.00715761
20,1349.61,1.50044,0.71846,1.00084,0.81921,0.7253,0.80967,0.46483,1.5191,0.74704,1.00472,0.00687222,0.00687222,0.00687222
21,1415.93,1.49962,0.7178,1.00055,0.83568,0.74057,0.82387,0.47811,1.49153,0.72538,0.99367,0.00657963,0.00657963,0.00657963
22,1482.16,1.49784,0.71578,0.9957,0.83745,0.74911,0.8265,0.48059,1.4857,0.7186,0.99318,0.00628101,0.00628101,0.00628101
23,1548.39,1.48601,0.70923,0.99643,0.84768,0.75046,0.83091,0.48882,1.47134,0.70565,0.98468,0.00597754,0.00597754,0.00597754
24,1615.4,1.48366,0.70528,0.995,0.83725,0.74611,0.8249,0.48008,1.49158,0.71534,0.99386,0.0056704,0.0056704,0.0056704
25,1681.84,1.47417,0.70017,0.99339,0.85072,0.75837,0.83646,0.4949,1.45832,0.6929,0.9824,0.00536081,0.00536081,0.00536081
26,1748.31,1.4729,0.69458,0.98941,0.84745,0.7556,0.83564,0.49212,1.46383,0.69682,0.98384,0.00505,0.00505,0.00505
27,1816.54,1.46974,0.69291,0.98958,0.85351,0.75943,0.84027,0.49798,1.45245,0.69201,0.979,0.00473919,0.00473919,0.00473919
28,1884.95,1.46478,0.6903,0.98827,0.85695,0.76015,0.843,0.49827,1.44903,0.68839,0.9783,0.0044296,0.0044296,0.0044296
29,1956.41,1.45463,0.68342,0.98478,0.85763,0.76612,0.84559,0.50291,1.4444,0.67615,0.97647,0.00412246,0.00412246,0.00412246
30,2023.53,1.4529,0.68112,0.98307,0.85882,0.76485,0.84406,0.50549,1.43367,0.6768,0.97217,0.00381899,0.00381899,0.00381899
31,2090.86,1.44961,0.67919,0.98272,0.8593,0.76646,0.84643,0.50445,1.43861,0.67615,0.97348,0.00352037,0.00352037,0.00352037
32,2161.3,1.44801,0.67706,0.97942,0.85714,0.7671,0.84649,0.50608,1.43663,0.6725,0.97317,0.00322778,0.00322778,0.00322778
33,2229.58,1.44198,0.67223,0.97933,0.86017,0.76427,0.84583,0.50566,1.43443,0.66994,0.97246,0.00294239,0.00294239,0.00294239
34,2297.17,1.43877,0.66892,0.97565,0.85755,0.76546,0.84588,0.50473,1.43736,0.67328,0.97263,0.00266532,0.00266532,0.00266532
35,2364.03,1.43822,0.66642,0.9764,0.86599,0.77276,0.85194,0.51045,1.43016,0.66339,0.9706,0.00239766,0.00239766,0.00239766
36,2432.43,1.43091,0.66238,0.97707,0.85979,0.76787,0.84864,0.50673,1.43304,0.66807,0.97084,0.00214046,0.00214046,0.00214046
37,2507.68,1.42855,0.66078,0.97414,0.8617,0.76817,0.85087,0.5092,1.4299,0.66518,0.96947,0.00189475,0.00189475,0.00189475
38,2580.73,1.42587,0.65882,0.9741,0.85878,0.76936,0.85033,0.50854,1.4326,0.66646,0.96972,0.00166149,0.00166149,0.00166149
39,2653.42,1.42551,0.65504,0.97246,0.86297,0.76936,0.84969,0.50741,1.43565,0.66676,0.96973,0.00144161,0.00144161,0.00144161
40,2720.29,1.42258,0.65558,0.97189,0.86548,0.76849,0.85137,0.51103,1.42926,0.65993,0.96811,0.00123596,0.00123596,0.00123596
41,2790.72,1.41551,0.65303,0.96998,0.86172,0.76962,0.85063,0.51173,1.42642,0.6584,0.96677,0.00104537,0.00104537,0.00104537
42,2856.91,1.41537,0.64914,0.96927,0.86344,0.77019,0.85264,0.51215,1.4264,0.65721,0.9668,0.000870577,0.000870577,0.000870577
43,2923.14,1.41251,0.64794,0.96848,0.86465,0.77161,0.85421,0.51319,1.42228,0.65705,0.96562,0.000712282,0.000712282,0.000712282
44,2989.13,1.41094,0.64803,0.97014,0.86911,0.77404,0.85599,0.51568,1.41684,0.65267,0.96435,0.000571106,0.000571106,0.000571106
45,3055.54,1.41009,0.64579,0.96634,0.87001,0.77734,0.85813,0.51822,1.41366,0.64815,0.96384,0.000447606,0.000447606,0.000447606
46,3121.96,1.41067,0.6463,0.96861,0.87108,0.77624,0.85773,0.51745,1.41613,0.64789,0.96463,0.00034227,0.00034227,0.00034227
47,3188.17,1.40942,0.64423,0.96685,0.87294,0.77622,0.85793,0.51935,1.40965,0.64371,0.96318,0.000255513,0.000255513,0.000255513
48,3254.55,1.40936,0.64423,0.96742,0.87309,0.77676,0.85832,0.51943,1.40919,0.64232,0.9627,0.000187678,0.000187678,0.000187678
49,3320.82,1.40423,0.64183,0.96635,0.87382,0.778,0.8583,0.5216,1.40342,0.63766,0.96182,0.000139032,0.000139032,0.000139032
50,3387.79,1.40568,0.64256,0.96558,0.87579,0.77675,0.85759,0.52081,1.40583,0.63737,0.96256,0.000109768,0.000109768,0.000109768
